tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,MARCHETTI Nathalie,AMRUTE Shruti,3,0,"11,11,11|8,5,9",QUAL,OLYMPICS,WS,2260,Qualification,MARCHETTI Nathalie (BEL),AMRUTE Shruti (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHANDRA Jeet,SHAH Manush,3,0,"11,11,11|8,6,7",SF,OLYMPICS,U21MS,2260,Main Draw,CHANDRA Jeet (IND),SHAH Manush (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SATO Hitomi,GASNIER Laura,4,0,"11,11,13,11|6,7,11,8",R16,OLYMPICS,WS,2260,Main Draw,SATO Hitomi (JPN),GASNIER Laura (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,DE NUTTE Sarah,NOSKOVA Yana,4,3,"7,8,7,12,11,11,11|11,11,11,10,6,6,8",R16,OLYMPICS,WS,2260,Main Draw,DE NUTTE Sarah (LUX),NOSKOVA Yana (RUS)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LIN Ye,DVORAK Galia,4,3,"8,11,7,7,11,11,11|11,4,11,11,7,5,7",R16,OLYMPICS,WS,2260,Main Draw,LIN Ye (CAN),DVORAK Galia (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ZENG Jian,HASHIMOTO Honoka,4,0,"11,11,11,11|6,5,8,5",R16,OLYMPICS,WS,2260,Main Draw,ZENG Jian (SGP),HASHIMOTO Honoka (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KATO Miyu,SHIOMI Maki,4,1,"11,12,5,11,11|7,10,11,9,2",R16,OLYMPICS,WS,2260,Main Draw,KATO Miyu (JPN),SHIOMI Maki (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LUPULESKU Izabela,VARADY Barbora,4,3,"10,5,11,11,9,11,11|12,11,8,5,11,6,6",R16,OLYMPICS,WS,2260,Main Draw,LUPULESKU Izabela (SRB),VARADY Barbora (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,YANG Xiaoxin,TRIGOLOS Daria,4,0,"11,11,11,11|9,7,7,5",R16,OLYMPICS,WS,2260,Main Draw,YANG Xiaoxin (MON),TRIGOLOS Daria (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,YUAN Jia Nan,SZOCS Bernadette,4,3,"7,11,9,11,11,11,11|11,9,11,3,13,1,6",R16,OLYMPICS,WS,2260,Main Draw,YUAN Jia Nan (FRA),SZOCS Bernadette (ROU)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,DESAI Harmeet,ASSAR Omar,4,3,"7,11,11,11,8,11,11|11,13,9,6,11,5,8",R16,OLYMPICS,MS,2260,Main Draw,DESAI Harmeet (IND),ASSAR Omar (EGY)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LAMBIET Florent,WANG Yang,4,1,"11,11,11,7,11|8,5,9,11,5",R16,OLYMPICS,MS,2260,Main Draw,LAMBIET Florent (BEL),WANG Yang (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,GERALDO Joao,ROBLES Alvaro,4,2,"7,9,11,11,11,11|11,11,7,6,7,8",R16,OLYMPICS,MS,2260,Main Draw,GERALDO Joao (POR),ROBLES Alvaro (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FREITAS Marcos,PISTEJ Lubomir,4,0,"11,11,11,11|5,4,5,0",R16,OLYMPICS,MS,2260,Main Draw,FREITAS Marcos (POR),PISTEJ Lubomir (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ACHANTA Sharath,KHANIN Aleksandr,4,1,"5,11,11,11,11|11,5,3,5,7",R16,OLYMPICS,MS,2260,Main Draw,ACHANTA Sharath (IND),KHANIN Aleksandr (BLR)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,OLAH Benedek,LEBESSON Emmanuel,4,3,"7,11,11,9,12,5,11|11,9,8,11,10,11,8",R16,OLYMPICS,MS,2260,Main Draw,OLAH Benedek (FIN),LEBESSON Emmanuel (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,APOLONIA Tiago,GERASSIMENKO Kirill,4,1,"8,11,11,11,11|11,5,6,6,9",R16,OLYMPICS,MS,2260,Main Draw,APOLONIA Tiago (POR),GERASSIMENKO Kirill (KAZ)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SKACHKOV Kirill,FLORE Tristan,4,3,"6,11,11,10,11,6,16|11,8,4,12,8,11,14",R16,OLYMPICS,MS,2260,Main Draw,SKACHKOV Kirill (RUS),FLORE Tristan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,THAKKAR Manav,CHANDRA Jeet,3,0,"11,11,13|6,7,11",F,OLYMPICS,U21MS,2260,Main Draw,THAKKAR Manav (IND),CHANDRA Jeet (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SHIOMI Maki,ZHANG Sofia-Xuan,3,1,"14,5,11,11|12,11,6,7",F,OLYMPICS,U21WS,2260,Main Draw,SHIOMI Maki (JPN),ZHANG Sofia-Xuan (ESP)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ROBLES Alvaro,FLORE Tristan,3,0,"11,11,11|7,5,7",F,OLYMPICS,XD,2260,Main Draw,ROBLES Alvaro (ESP),FLORE Tristan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,HASHIMOTO Honoka,VARADY Barbora,3,1,"11,11,5,11|4,7,11,8",SF,OLYMPICS,WD,2260,Main Draw,HASHIMOTO Honoka (JPN),VARADY Barbora (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,CHITALE Diya,LIN Ye,3,1,"7,11,12,11|11,1,10,9",SF,OLYMPICS,WD,2260,Main Draw,CHITALE Diya (IND),LIN Ye (CAN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ALLEGRO Martin,SHAH Manush,3,2,"9,9,11,11,11|11,11,9,7,6",SF,OLYMPICS,MD,2260,Main Draw,ALLEGRO Martin (BEL),SHAH Manush (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KARAKASEVIC Aleksandar,ACHANTA Sharath,3,0,"16,11,11|14,4,7",SF,OLYMPICS,MD,2260,Main Draw,KARAKASEVIC Aleksandar (SRB),ACHANTA Sharath (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SATO Hitomi,DE NUTTE Sarah,4,0,"11,11,11,11|4,7,8,5",QF,OLYMPICS,WS,2260,Main Draw,SATO Hitomi (JPN),DE NUTTE Sarah (LUX)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,LIN Ye,HASHIMOTO Honoka,4,0,"11,11,11,11|3,7,8,4",QF,OLYMPICS,WS,2260,Main Draw,LIN Ye (CAN),HASHIMOTO Honoka (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KATO Miyu,VARADY Barbora,4,1,"11,9,11,11,11|3,11,4,1,7",QF,OLYMPICS,WS,2260,Main Draw,KATO Miyu (JPN),VARADY Barbora (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,YANG Xiaoxin,YUAN Jia Nan,4,0,"11,11,11,11|4,4,9,5",QF,OLYMPICS,WS,2260,Main Draw,YANG Xiaoxin (MON),YUAN Jia Nan (FRA)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ROBLES Alvaro,DESAI Harmeet,4,1,"11,11,11,8,11|9,5,8,11,1",QF,OLYMPICS,MS,2260,Main Draw,ROBLES Alvaro (ESP),DESAI Harmeet (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FREITAS Marcos,WANG Yang,4,0,"11,11,11,11|4,4,9,7",QF,OLYMPICS,MS,2260,Main Draw,FREITAS Marcos (POR),WANG Yang (SVK)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ACHANTA Sharath,OLAH Benedek,4,1,"11,10,11,11,11|7,12,3,8,6",QF,OLYMPICS,MS,2260,Main Draw,ACHANTA Sharath (IND),OLAH Benedek (FIN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,GERASSIMENKO Kirill,SKACHKOV Kirill,4,3,"6,11,11,10,11,10,11|11,9,4,12,5,12,8",QF,OLYMPICS,MS,2260,Main Draw,GERASSIMENKO Kirill (KAZ),SKACHKOV Kirill (RUS)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SATO Hitomi,HASHIMOTO Honoka,4,3,"11,8,10,11,6,11,11|6,11,12,9,11,3,7",SF,OLYMPICS,WS,2260,Main Draw,SATO Hitomi (JPN),HASHIMOTO Honoka (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FREITAS Marcos,DESAI Harmeet,4,3,"5,11,6,6,11,13,11|11,9,11,11,8,11,5",SF,OLYMPICS,MS,2260,Main Draw,FREITAS Marcos (POR),DESAI Harmeet (IND)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,KATO Miyu,YANG Xiaoxin,4,0,"11,11,11,11|9,8,5,7",SF,OLYMPICS,WS,2260,Main Draw,KATO Miyu (JPN),YANG Xiaoxin (MON)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ACHANTA Sharath,SKACHKOV Kirill,4,3,"11,11,13,11,13,8,11|13,13,11,9,11,11,7",SF,OLYMPICS,MS,2260,Main Draw,ACHANTA Sharath (IND),SKACHKOV Kirill (RUS)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,ALLEGRO Martin,KARAKASEVIC Aleksandar,3,0,"11,11,11|8,6,6",F,OLYMPICS,MD,2260,Main Draw,ALLEGRO Martin (BEL),KARAKASEVIC Aleksandar (SRB)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,SATO Hitomi,KATO Miyu,4,2,"14,12,17,11,11,11|16,14,15,9,8,9",F,OLYMPICS,WS,2260,Main Draw,SATO Hitomi (JPN),KATO Miyu (JPN)
ITTF Challenge Plus Oman Open Muscat 2020,2020-03-11,FREITAS Marcos,ACHANTA Sharath,4,2,"6,11,12,11,3,17|11,8,10,9,11,15",F,OLYMPICS,MS,2260,Main Draw,FREITAS Marcos (POR),ACHANTA Sharath (IND)
