tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour India Open New Delhi 2017,2017-02-14,PATKAR Madhurika,ROY Krittwika,4,1,"9,11,11,11,11|11,1,7,8,8",,GRAND_SLAM,WS,455,Qualification,PATKAR Madhurika (IND),ROY Krittwika (IND)
World Tour India Open New Delhi 2017,2017-02-14,EKHOLM Matilda,DOO Hoi Kem,4,2,"11,11,5,11,8,11|8,7,11,9,11,3",SF,GRAND_SLAM,WS,455,Main Draw,DOO Hoi Kem (HKG),EKHOLM Matilda (SWE)
World Tour India Open New Delhi 2017,2017-02-14,MORI Sakura,NG Wing Nam,4,3,"13,12,10,9,11,9,11|11,10,12,11,8,11,6",SF,GRAND_SLAM,WS,455,Main Draw,NG Wing Nam (HKG),MORI Sakura (JPN)
World Tour India Open New Delhi 2017,2017-02-14,MORI Sakura,EKHOLM Matilda,4,3,"7,11,11,12,6,8,11|11,5,8,10,11,11,6",F,GRAND_SLAM,WS,455,Main Draw,EKHOLM Matilda (SWE),MORI Sakura (JPN)
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,THAKKAR Manav,4,1,"7,11,11,11,11|11,7,7,7,7",QR16,GRAND_SLAM,MS,455,Qualification,THAKKAR Manav (IND),SAKAI Asuka (JPN)
World Tour India Open New Delhi 2017,2017-02-14,SALIFOU Abdel-Kader,ALKHADRAWI Ali,4,0,"11,11,11,11|6,6,7,7",QR16,GRAND_SLAM,MS,455,Qualification,ALKHADRAWI Ali (KSA),SALIFOU Abdel-Kader (BEN)
World Tour India Open New Delhi 2017,2017-02-14,LAM Siu Hang,AL-ABBAD Abdulaziz,4,2,"11,13,7,11,11,11|8,15,11,6,5,5",QR16,GRAND_SLAM,MS,455,Qualification,AL-ABBAD Abdulaziz (KSA),LAM Siu Hang (HKG)
World Tour India Open New Delhi 2017,2017-02-14,ANTHONY Amalraj,HUNG Tzu-Hsiang,4,1,"11,11,11,13,11|9,7,7,15,8",QR16,GRAND_SLAM,MS,455,Qualification,ANTHONY Amalraj (IND),HUNG Tzu-Hsiang (TPE)
World Tour India Open New Delhi 2017,2017-02-14,JANCARIK Lubomir,GROVER Sudhanshu,4,0,"11,11,11,11|6,9,8,6",QR16,GRAND_SLAM,MS,455,Qualification,JANCARIK Lubomir (CZE),GROVER Sudhanshu (IND)
World Tour India Open New Delhi 2017,2017-02-14,ALKHADRAWI Ali,GUPTA Utkarsh,3,1,"11,4,11,11|6,11,8,8",R32,GRAND_SLAM,U21MS,455,Main Draw,ALKHADRAWI Ali (KSA),GUPTA Utkarsh (IND)
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,ALAMRI Abdulaziz,3,0,"11,11,11|1,1,6",R16,GRAND_SLAM,U21MS,455,Main Draw,HARIMOTO Tomokazu (JPN),ALAMRI Abdulaziz (KSA)
World Tour India Open New Delhi 2017,2017-02-14,BORO Birdie,THAKKAR Manav,3,2,"9,12,9,11,11|11,10,11,6,5",R16,GRAND_SLAM,U21MS,455,Main Draw,BORO Birdie (IND),THAKKAR Manav (IND)
World Tour India Open New Delhi 2017,2017-02-14,IZUMO Takuto,PANDE Siddhesh,3,2,"9,11,8,11,11|11,6,11,9,4",R16,GRAND_SLAM,U21MS,455,Main Draw,IZUMO Takuto (JPN),PANDE Siddhesh (IND)
World Tour India Open New Delhi 2017,2017-02-14,GHOSH Arjun,CHANDRA Jeet,3,1,"11,11,12,11|9,6,14,5",R16,GRAND_SLAM,U21MS,455,Main Draw,CHANDRA Jeet (IND),GHOSH Arjun (IND)
World Tour India Open New Delhi 2017,2017-02-14,ALKHADRAWI Ali,GHOSH Anirban,3,1,"7,11,11,11|11,9,6,6",R16,GRAND_SLAM,U21MS,455,Main Draw,ALKHADRAWI Ali (KSA),GHOSH Anirban (IND)
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,BU SHULAYBI Abdulaziz,3,0,"11,11,11|4,3,8",R16,GRAND_SLAM,U21MS,455,Main Draw,BU SHULAYBI Abdulaziz (KSA),SAKAI Asuka (JPN)
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,BORO Birdie,3,0,"11,11,11|8,7,5",QF,GRAND_SLAM,U21MS,455,Main Draw,HARIMOTO Tomokazu (JPN),BORO Birdie (IND)
World Tour India Open New Delhi 2017,2017-02-14,LAM Siu Hang,BHANJA Ronit,3,1,"11,11,11,11|6,7,13,5",QF,GRAND_SLAM,U21MS,455,Main Draw,BHANJA Ronit (IND),LAM Siu Hang (HKG)
World Tour India Open New Delhi 2017,2017-02-14,IZUMO Takuto,GHOSH Arjun,3,0,"14,11,11|12,7,7",QF,GRAND_SLAM,U21MS,455,Main Draw,IZUMO Takuto (JPN),GHOSH Arjun (IND)
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,ALKHADRAWI Ali,3,0,"11,11,11|7,9,3",QF,GRAND_SLAM,U21MS,455,Main Draw,ALKHADRAWI Ali (KSA),SAKAI Asuka (JPN)
World Tour India Open New Delhi 2017,2017-02-14,LAM Siu Hang,HARIMOTO Tomokazu,3,2,"11,3,16,11,11|6,11,18,9,9",SF,GRAND_SLAM,U21MS,455,Main Draw,HARIMOTO Tomokazu (JPN),LAM Siu Hang (HKG)
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,IZUMO Takuto,3,1,"5,11,11,11|11,6,3,9",SF,GRAND_SLAM,U21MS,455,Main Draw,IZUMO Takuto (JPN),SAKAI Asuka (JPN)
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,LAM Siu Hang,3,2,"11,5,11,10,11|8,11,4,12,8",F,GRAND_SLAM,U21MS,455,Main Draw,LAM Siu Hang (HKG),SAKAI Asuka (JPN)
World Tour India Open New Delhi 2017,2017-02-14,PAREEK Priyanka,SELVAKUMAR Selena,3,2,"11,11,8,8,11|9,6,11,11,9",R16,GRAND_SLAM,U21WS,455,Main Draw,SELVAKUMAR Selena (IND),PAREEK Priyanka (CAN)
World Tour India Open New Delhi 2017,2017-02-14,KAMATH Archana,DUTTA Moumita,3,0,"11,11,11|4,4,6",R16,GRAND_SLAM,U21WS,455,Main Draw,KAMATH Archana (IND),DUTTA Moumita (IND)
World Tour India Open New Delhi 2017,2017-02-14,LIN Po-Hsuan,CALANGE Harsha,3,1,"8,11,11,11|11,6,7,6",R16,GRAND_SLAM,U21WS,455,Main Draw,LIN Po-Hsuan (TPE),CALANGE Harsha (IND)
World Tour India Open New Delhi 2017,2017-02-14,AKULA Sreeja,PUSHPAK Amrutha,3,2,"7,8,11,11,11|11,11,6,5,5",R16,GRAND_SLAM,U21WS,455,Main Draw,PUSHPAK Amrutha (IND),AKULA Sreeja (IND)
World Tour India Open New Delhi 2017,2017-02-14,MUKHERJEE Ayhika,DAS Priyadarshini,3,2,"13,11,10,9,11|11,9,12,11,5",R16,GRAND_SLAM,U21WS,455,Main Draw,MUKHERJEE Ayhika (IND),DAS Priyadarshini (IND)
World Tour India Open New Delhi 2017,2017-02-14,MORI Sakura,PAREEK Priyanka,3,0,"11,11,11|1,3,3",QF,GRAND_SLAM,U21WS,455,Main Draw,MORI Sakura (JPN),PAREEK Priyanka (CAN)
World Tour India Open New Delhi 2017,2017-02-14,MAK Tze Wing,KAMATH Archana,3,2,"11,6,11,6,11|6,11,7,11,9",QF,GRAND_SLAM,U21WS,455,Main Draw,KAMATH Archana (IND),MAK Tze Wing (HKG)
World Tour India Open New Delhi 2017,2017-02-14,AKULA Sreeja,LIN Po-Hsuan,3,2,"11,6,6,11,11|7,11,11,3,9",QF,GRAND_SLAM,U21WS,455,Main Draw,LIN Po-Hsuan (TPE),AKULA Sreeja (IND)
World Tour India Open New Delhi 2017,2017-02-14,SOO Wai Yam,MUKHERJEE Ayhika,3,0,"11,13,11|9,11,9",QF,GRAND_SLAM,U21WS,455,Main Draw,MUKHERJEE Ayhika (IND),SOO Wai Yam (HKG)
World Tour India Open New Delhi 2017,2017-02-14,SOO Wai Yam,AKULA Sreeja,3,0,"11,13,11|2,11,7",SF,GRAND_SLAM,U21WS,455,Main Draw,AKULA Sreeja (IND),SOO Wai Yam (HKG)
World Tour India Open New Delhi 2017,2017-02-14,MORI Sakura,SOO Wai Yam,3,2,"4,13,6,11,12|11,11,11,5,10",F,GRAND_SLAM,U21WS,455,Main Draw,MORI Sakura (JPN),SOO Wai Yam (HKG)
World Tour India Open New Delhi 2017,2017-02-14,GARDOS Robert/JANCARIK Lubomir,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,3,1,"7,11,11,11|11,4,5,7",R16,GRAND_SLAM,MD,455,Main Draw,GARDOS Robert (AUT) / JANCARIK Lubomir (CZE),ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA)
World Tour India Open New Delhi 2017,2017-02-14,JIANG Tianyi/LAM Siu Hang,GARDOS Robert/JANCARIK Lubomir,3,0,"11,12,11|7,10,7",QF,GRAND_SLAM,MD,455,Main Draw,JIANG Tianyi (HKG) / LAM Siu Hang (HKG),GARDOS Robert (AUT) / JANCARIK Lubomir (CZE)
World Tour India Open New Delhi 2017,2017-02-14,FLORE Tristan/ROBINOT Quentin,DRINKHALL Paul/WALKER Samuel,3,1,"11,6,11,11|9,11,8,7",R16,GRAND_SLAM,MD,455,Main Draw,FLORE Tristan (FRA) / ROBINOT Quentin (FRA),DRINKHALL Paul (ENG) / WALKER Samuel (ENG)
World Tour India Open New Delhi 2017,2017-02-14,FILUS Ruwen/WALTHER Ricardo,FLORE Tristan/ROBINOT Quentin,3,0,"11,11,11|4,7,8",QF,GRAND_SLAM,MD,455,Main Draw,FILUS Ruwen (GER) / WALTHER Ricardo (GER),FLORE Tristan (FRA) / ROBINOT Quentin (FRA)
World Tour India Open New Delhi 2017,2017-02-14,FILUS Ruwen/WALTHER Ricardo,DUDA Benedikt/MENGEL Steffen,3,1,"11,11,6,11|7,6,11,4",SF,GRAND_SLAM,MD,455,Main Draw,FILUS Ruwen (GER) / WALTHER Ricardo (GER),DUDA Benedikt (GER) / MENGEL Steffen (GER)
World Tour India Open New Delhi 2017,2017-02-14,DOO Hoi Kem/LEE Ho Ching,DAS Ankita/PATKAR Madhurika,3,0,"11,11,11|9,4,7",QF,GRAND_SLAM,WD,455,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),DAS Ankita (IND) / PATKAR Madhurika (IND)
World Tour India Open New Delhi 2017,2017-02-14,NG Wing Nam/SOO Wai Yam,BATRA Manika/DAS Mouma,3,0,"11,11,11|8,6,8",QF,GRAND_SLAM,WD,455,Main Draw,NG Wing Nam (HKG) / SOO Wai Yam (HKG),BATRA Manika (IND) / DAS Mouma (IND)
World Tour India Open New Delhi 2017,2017-02-14,DOO Hoi Kem/LEE Ho Ching,NG Wing Nam/SOO Wai Yam,3,2,"11,11,11,10,11|9,13,9,12,6",SF,GRAND_SLAM,WD,455,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),NG Wing Nam (HKG) / SOO Wai Yam (HKG)
World Tour India Open New Delhi 2017,2017-02-14,JIANG Tianyi/LAM Siu Hang,DESAI Harmeet/GHOSH Soumyajit,3,2,"8,11,4,11,13|11,8,11,3,11",R16,GRAND_SLAM,MD,455,Main Draw,JIANG Tianyi (HKG) / LAM Siu Hang (HKG),DESAI Harmeet (IND) / GHOSH Soumyajit (IND)
World Tour India Open New Delhi 2017,2017-02-14,DUDA Benedikt/MENGEL Steffen,BHANJA Ronit/GHOSH Arjun,3,1,"11,11,9,11|8,4,11,6",R16,GRAND_SLAM,MD,455,Main Draw,DUDA Benedikt (GER) / MENGEL Steffen (GER),BHANJA Ronit (IND) / GHOSH Arjun (IND)
World Tour India Open New Delhi 2017,2017-02-14,DUDA Benedikt/MENGEL Steffen,ANTHONY Amalraj/GNANASEKARAN Sathiyan,3,1,"5,13,11,11|11,11,8,9",QF,GRAND_SLAM,MD,455,Main Draw,DUDA Benedikt (GER) / MENGEL Steffen (GER),ANTHONY Amalraj (IND) / GNANASEKARAN Sathiyan (IND)
World Tour India Open New Delhi 2017,2017-02-14,EKHOLM Matilda/POTA Georgina,AKULA Sreeja/KAMATH Archana,3,0,"11,11,11|8,1,7",QF,GRAND_SLAM,WD,455,Main Draw,EKHOLM Matilda (SWE) / POTA Georgina (HUN),AKULA Sreeja (IND) / KAMATH Archana (IND)
World Tour India Open New Delhi 2017,2017-02-14,MORIZONO Masataka/OSHIMA Yuya,AKKUZU Can/GERALDO Joao,3,0,"12,20,11|10,18,9",R16,GRAND_SLAM,MD,455,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),AKKUZU Can (FRA) / GERALDO Joao (POR)
World Tour India Open New Delhi 2017,2017-02-14,MORIZONO Masataka/OSHIMA Yuya,ACHANTA Sharath/SHETTY Sanil,3,0,"12,11,11|10,1,3",QF,GRAND_SLAM,MD,455,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),ACHANTA Sharath (IND) / SHETTY Sanil (IND)
World Tour India Open New Delhi 2017,2017-02-14,MORIZONO Masataka/OSHIMA Yuya,JIANG Tianyi/LAM Siu Hang,3,0,"12,11,12|10,5,10",SF,GRAND_SLAM,MD,455,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),JIANG Tianyi (HKG) / LAM Siu Hang (HKG)
World Tour India Open New Delhi 2017,2017-02-14,MORIZONO Masataka/OSHIMA Yuya,FILUS Ruwen/WALTHER Ricardo,3,1,"9,11,11,11|11,7,6,9",F,GRAND_SLAM,MD,455,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),FILUS Ruwen (GER) / WALTHER Ricardo (GER)
World Tour India Open New Delhi 2017,2017-02-14,FILUS Ruwen/WALTHER Ricardo,AL-ABBAD Abdulaziz/ALAMRI Abdulaziz,3,0,"11,11,11|0,5,8",R16,GRAND_SLAM,MD,455,Main Draw,FILUS Ruwen (GER) / WALTHER Ricardo (GER),AL-ABBAD Abdulaziz (KSA) / ALAMRI Abdulaziz (KSA)
World Tour India Open New Delhi 2017,2017-02-14,LIN Po-Hsuan/WANG Yi-Ju,PAUL Mousumi/ROY Krittwika,3,2,"11,12,11,10,12|4,14,2,12,10",QF,GRAND_SLAM,WD,455,Main Draw,LIN Po-Hsuan (TPE) / WANG Yi-Ju (TPE),PAUL Mousumi (IND) / ROY Krittwika (IND)
